I,Q,I_dpd,Q_dpd
-0.356409152,-0.048753537,-0.26962864,-0.06728274
-0.446296632,-0.095986748,-0.34543645,-0.08710225
-0.426178804,-0.090885525,-0.33664727,-0.06755681
-0.321484411,-0.043182568,-0.25825164,-0.01944866
-0.174705066,0.011391152,-0.14499554,0.033227995
-0.028905395,0.033224623,-0.032562777,0.05113226
0.085100613,0.004158844,0.069654554,0.025317073
0.153850399,-0.059430265,0.12041132,-0.024947762
0.178584861,-0.114306779,0.14501832,-0.077776656
0.168146159,-0.115087702,0.13310641,-0.08683142
0.131947557,-0.041900146,0.09763558,-0.036772333
0.076456966,0.085440085,0.048125193,0.053703785
0.006098586,0.215824242,-0.011728041,0.15535225
-0.073106028,0.293946021,-0.06745995,0.21866761
-0.1502279,0.291043595,-0.117588244,0.21351634
-0.209187291,0.221466344,-0.15114945,0.16109811
-0.232564942,0.134810084,-0.1637457,0.09953478
-0.208216092,0.087237361,-0.14786834,0.069727406
-0.135772677,0.107941469,-0.100559466,0.09190555
-0.029787911,0.180283067,-0.028600574,0.14887162
0.082564213,0.249482513,0.056247987,0.2137091
0.169140944,0.253824836,0.12805027,0.21811996
0.203426255,0.162420728,0.1690095,0.1401561
0.174178667,-0.002266122,0.15826921,-0.0006021708
0.090259758,-0.17144365,0.1001337,-0.13692021
-0.02160526,-0.264762487,0.0028666556,-0.22077194
-0.125706512,-0.234990065,-0.095736705,-0.20154998
-0.189743978,-0.097888861,-0.16290209,-0.09279506
-0.196035812,0.070725191,-0.17461523,0.05062282
-0.147138227,0.171597077,-0.1321209,0.13859825
-0.063655422,0.134531571,-0.052220426,0.11596845
0.024756661,-0.040877257,0.044776566,-0.02199909
0.091298379,-0.279178857,0.096309185,-0.2063975
0.121724179,-0.463093232,0.111303,-0.35843882
0.117781228,-0.491831282,0.09175,-0.38891822
0.093294161,-0.334207934,0.052585173,-0.2663961
0.065283631,-0.048511381,0.014752269,-0.037751816
0.044836522,0.242547984,-0.014677361,0.17505829
0.032439329,0.410458486,-0.0062736347,0.3217762
0.020085645,0.384033235,0.010221418,0.3001889
-0.001163377,0.185001788,0.021222003,0.13939668
-0.032503474,-0.082380706,0.018557012,-0.061932098
-0.06273021,-0.28284632,-0.009642422,-0.22887081
-0.070796581,-0.316877029,-0.042402647,-0.25486296
-0.035013603,-0.169037874,-0.04114437,-0.12746672
0.055366779,0.086326512,0.00876195,0.071222246
0.192101781,0.324391145,0.109715566,0.2635553
0.348000972,0.433597493,0.25181186,0.35829854
0.485815117,0.371139922,0.3881723,0.30551583
0.572320188,0.182220595,0.47808665,0.14682497
0.591181903,-0.025919804,0.5013513,-0.026306503
0.548526063,-0.140944749,0.45866552,-0.12512153
0.468506173,-0.103598377,0.37536186,-0.102192
0.380940594,0.062561108,0.2883621,0.027080193
0.30693973,0.264318007,0.21835428,0.18574972
0.249456048,0.38708632,0.17695905,0.2897122
0.19335902,0.352959522,0.14900376,0.26943207
0.115093665,0.15902543,0.11163906,0.1172905
-0.002589972,-0.122528794,0.04529963,-0.09870469
-0.157797793,-0.381001159,-0.08237473,-0.32542348
-0.324746046,-0.520537354,-0.24175149,-0.43593556
-0.45978899,-0.502920583,-0.36921227,-0.413633
-0.516279567,-0.35927789,-0.4326579,-0.28710032
-0.462639328,-0.167130548,-0.39887708,-0.12346278
-0.296721272,-0.00704283,-0.26377797,0.01558432
